,batter_id,team,first_name,last_name
18866,647336,ATL,Mike,Soroka
20308,622441,WSH,Rafael,Bautista
21565,657681,SD,Kyle,McGrath
22820,608638,LAD,JT,Chargois
23072,433587,SEA,Felix,Hernandez
23177,594835,SEA,Marco,Gonzales
29,650619,KC,Meibrys,Viloria
16846,606995,CHC,Justin,Hancock
18392,545338,MIL,Nick,Franklin
20789,596143,BAL,Luis,Sardinas
9509,656546,COL,Jeff,Hoffman
17737,592647,TOR,Dalton,Pompey
17760,546990,TOR,Anthony,Alford
18299,492802,LAA,Juan,Graterol
266,431151,NYM,David,Wright
492,594840,WSH,Matt,Grace
519,641851,WSH,Kyle,McGowin
2006,623454,PHI,Drew,Anderson
3550,656887,TOR,Sean,Reid-Foley
3759,462136,TOR,Marco,Estrada
3905,592717,TOR,Aaron,Sanchez
5146,547888,NYY,Masahiro,Tanaka
5911,656977,ATL,Chad,Sobotka
7781,592426,ATL,Luke,Jackson
7814,663465,ATL,Kolby,Allard
9193,642211,TB,Justin,Williams
9509,660853,PHI,Enyel,De Los Santos
9868,605347,MIL,Jorge,Lopez
9891,641924,MIL,Jacob,Nottingham
11109,543901,TB,Ryan,Weber
11198,573064,TB,Vidal,Nuno
11255,489265,TB,Sergio,Romo
11414,642232,TB,Ryan,Yarbrough
17681,605538,ATL,Matt,Wisler
18725,627894,ATL,Luiz,Gohara
23653,519242,BOS,Chris,Sale
23810,598271,BOS,Brian,Johnson
0,598284,MIA,Peter,O'Brien
52,645261,MIA,Sandy,Alcantara
1198,608723,WSH,Austin,Voth
2542,656257,MIA,Jeff,Brigham
4727,502522,WSH,Justin,Miller
5408,543391,SF,Casey,Kelly
9185,607192,PIT,Tyler,Glasnow
10151,593833,WSH,Wander,Suero
11130,552640,TB,Andrew,Kittredge
11360,605483,TB,Blake,Snell
12295,553878,PIT,Felipe,Vazquez
14710,622663,NYY,Luis,Severino
14864,593334,NYY,Domingo,German
16033,640460,ATL,Dustin,Peterson
18136,457918,TOR,J.A.,Happ
18341,448802,TOR,Jaime,Garcia
958,543193,NYM,Drew,Gagnon
3137,445213,CHC,Brandon,Kintzler
6449,592741,STL,Chasen,Shreve
7158,641149,ATL,Wes,Parsons
8122,622492,CIN,Keury,Mella
8440,642008,NYM,Jacob,Rhame
9601,592145,ATL,Jesse,Biddle
9752,571841,NYM,Ty,Kelly
9760,544925,NYM,Matthew,den Dekker
11406,593958,BOS,Eduardo,Rodriguez
11529,592390,BOS,Heath,Hembree
12230,605441,PHI,Yacksel,Rios
13726,543243,NYY,Sonny,Gray
15890,572180,BAL,Andrew,Susac
17942,644428,ARI,Troy,Scribner
22977,455755,ATL,Chris,Stewart
6717,576788,BOS,Dan,Butler
13789,518875,WSH,Shawn,Kelley
22579,547912,TOR,Gift,Ngoepe
912,628711,LAD,Julio,Urias
1887,501985,TEX,Mike,Minor
2063,642558,TEX,Ariel,Jurado
2190,622795,TEX,Yohander,Mendez
4009,606273,SEA,Roenis,Elias
5374,542882,ARI,Matt,Andriese
5937,642545,LAA,Jaime,Barria
12823,593423,OAK,Frankie,Montas
13024,621112,OAK,Paul,Blackburn
21573,606625,SF,Reyes,Moronta
